min,max,mean,median,std_dev,1st_quantile,2nd_quantile,3rd_quantile
0.4493717762243856,0.5048896597244829,0.4768578488233299,0.4748774885614379,0.01701688575341657,0.4654620365981732,0.4748774885614379,0.4893291536375489
0.4514933675097186,0.5302866447588405,0.4981123228046325,0.500778486270985,0.019000643707492014,0.4896582070046504,0.500778486270985,0.507922912477103
0.4776988941906513,0.537774606906963,0.5104594239397966,0.510977521256375,0.01543610926404484,0.5023433489523513,0.510977521256375,0.5238890052822025
0.4952633132339047,0.5468417293782221,0.5210991283017468,0.5199681859766926,0.015125238431304809,0.5078955265194482,0.5199681859766926,0.5337468375538214
0.4940625909398651,0.5710737034401238,0.5316350818388287,0.533515179569264,0.02128225451399703,0.5194935542545278,0.533515179569264,0.5462976559281296
0.5089161543896907,0.5776227883265836,0.5396022977138423,0.5383094835558929,0.017747988775629712,0.5297795027330116,0.5383094835558929,0.5481548591754011
0.5002421746278168,0.5928703115825995,0.5481428654264761,0.5460824400422333,0.01969793981545543,0.5346996698283568,0.5460824400422333,0.5626246251432043
0.5053090817649035,0.6164720952168563,0.5543382197318429,0.5524500702464815,0.02323240389311413,0.5426426387913565,0.5524500702464815,0.5681733382697449
0.5198275359422532,0.6195346769644587,0.5622117673691164,0.559465003348045,0.02230108810238441,0.5469222164804284,0.559465003348045,0.575434793629982
0.5107207138769758,0.617692909455575,0.5659424448287599,0.5666796320479149,0.02428316775073242,0.5492380532293497,0.5666796320479149,0.5823903135065436
0.5086796326207572,0.6202931071980672,0.5707366263390758,0.5674730186518226,0.020617895799843067,0.5581362257765105,0.5674730186518226,0.5840027975283205
0.4966109875964084,0.642621951942064,0.5731928752138792,0.5752128676060151,0.02932893172748848,0.5546134426796429,0.5752128676060151,0.592748855292434
0.5319005405107718,0.6392482058709142,0.5812315514246554,0.5793621538409557,0.021079877277468285,0.5656952623598752,0.5793621538409557,0.5954974869676433
0.47085829903514637,0.6455823015641617,0.5775588601005412,0.5834474168209487,0.035238503866797964,0.5519088133392844,0.5834474168209487,0.6054711864791577
0.5079511893225339,0.6722545438891675,0.5857893105327883,0.5854987981704117,0.029100565790315093,0.5709722155439889,0.5854987981704117,0.5997648687252939
0.5226994905703222,0.6701978554310264,0.5886202727893478,0.5862854226499663,0.0285930712927499,0.5680139219871964,0.5862854226499663,0.6064088949176851
0.49342189884949783,0.6590508907375476,0.5920392324801284,0.5935246012965424,0.028710134362286168,0.5796713989062736,0.5935246012965424,0.6113158395077906
